X,Y
139.3985115,-30.20808111
139.6703615,-29.95800014
139.5447202,-29.93675847
139.5229919,-30.10867945
139.5852411,-30.00656605
139.6023282,-29.88889953
139.5820879,-29.86168821
139.6319048,-30.02806486
139.6974455,-29.90499148
139.6922303,-29.92362059
139.5116853,-30.13454811
139.5725457,-29.89374789
139.6678311,-29.93660092
139.6429074,-29.85147393
139.6233634,-29.83074983
139.4925382,-30.12798313
139.544843,-30.10202222
139.4738723,-30.07622068
139.6237481,-30.02690434
139.3483926,-30.25820209
139.3554175,-30.18263379
139.2957769,-30.12876302
139.6591919,-29.90691628
139.669115,-29.90429525
139.6369142,-29.84882902
139.5268294,-30.05158527
139.5695591,-29.90150255
139.6188124,-30.05636327
139.4469653,-30.18488129
139.6657437,-30.00272284
139.3385526,-30.19405583
139.6029353,-30.06571382
139.6181793,-29.85086556
139.5011963,-30.08117687
139.5367573,-29.91600019
139.3871798,-30.20427584
139.3451636,-30.17257712
139.6289154,-29.91663106
139.5727031,-29.9616404
139.3645502,-30.25242967
139.3421443,-30.22061273
139.5849141,-29.97880417
139.4406131,-30.09326833
139.6888949,-29.91116411
139.4008454,-30.18153816
139.4189246,-30.11722749
139.6339824,-30.00801484
139.4427747,-30.09409513
139.2883161,-30.1330197
139.4713167,-30.11238195
139.4195197,-30.12989987
139.6293763,-29.86234092
139.5423814,-30.08753409
139.4208874,-30.15858772
139.4846857,-30.10587644
139.6789564,-29.89734918
139.3746033,-30.21109552
139.3050355,-30.20318469
139.2978013,-30.18594897
139.3496273,-30.2465313
139.6891463,-29.94479998
139.317682,-30.16636948
139.3334599,-30.19334822
139.5478033,-30.10290043
139.6982685,-29.93883792
139.3359531,-30.19260004
139.6321918,-29.84925002
139.6288085,-29.91508744
139.5014539,-30.13374314
139.5518463,-30.10031555
139.7225706,-29.97140749
139.5672509,-29.9570591
139.5648847,-29.9551814
139.3249537,-30.19809124
139.690624,-29.95640701
139.4792765,-30.13850251
139.2867117,-30.13103957
139.3742914,-30.21056154
139.4470689,-30.11501452
139.6365515,-29.93895223
139.323858,-30.17168505
139.6234478,-29.84363512
139.6827876,-29.89669705
139.6005112,-29.90903584
139.5989215,-29.95100655
139.6277728,-29.89915681
139.5872339,-30.04513276
139.5716548,-29.86073124
139.6118037,-30.01722547
139.6597326,-29.85053098
139.5837874,-30.0423464
139.3323053,-30.18480072
139.5171066,-30.06053996
139.5807337,-29.99969203
139.6356388,-29.93721026
139.5911487,-30.05835643
139.4855518,-30.07783384
139.4697968,-30.10096337
139.3462929,-30.17970542
139.6871461,-29.9050163
139.616742,-29.85464346
139.6589021,-29.97387385
139.5270496,-29.91659686
139.6009464,-29.85678724
139.6562787,-30.00180335
139.6330015,-29.8772813
139.568089,-29.97521634
139.5939366,-29.87234901
139.6376844,-29.97424364
139.662202,-29.99432707
139.520267,-30.1197305
139.6010077,-29.83455681
139.2989876,-30.19252234
139.4775956,-30.12419371
139.6499937,-30.02864067
139.4525002,-30.10103189
139.5765726,-29.93609746
139.4856831,-30.14529766
139.3187948,-30.20723061
139.3082721,-30.18639943
139.4684018,-30.16353252
139.6284316,-29.96199966
139.6070996,-29.9390155
139.5826955,-30.08809046
139.4314963,-30.16799941
139.3158216,-30.1422974
139.6931713,-29.98212957
139.6661196,-29.87269727
139.700383,-29.96498943
139.4933966,-30.07532979
139.5394286,-30.0582179
139.6515237,-30.00098838
139.4000953,-30.2176915
139.5745968,-29.98315753
139.6956045,-29.99462977
139.5588015,-29.87121235
139.6557115,-29.98131747
139.6648204,-29.86904365
139.3020643,-30.1240783
139.6287625,-30.00573251
139.5785889,-29.91175352
139.4459099,-30.1428049
139.5718808,-30.04822359
139.5859051,-29.95810825
139.7294944,-29.94494146
139.6087869,-29.95586194
139.6501807,-30.03055936
139.5761586,-30.03763495
139.4028327,-30.21797691
139.2878623,-30.17559479
139.5889725,-29.98392386
139.6651852,-29.88723745
139.6689144,-29.86583643
139.6347266,-29.97319429
139.668984,-29.98271538
139.3087537,-30.16879635
139.4914203,-30.11711921
139.539696,-29.9021054
139.5723468,-29.86063923
139.7008925,-29.96329679
139.5366514,-30.07434256
139.5632852,-30.03589281
139.3328787,-30.18723087
139.5552026,-29.87416345
139.6533704,-29.98712013
139.5305051,-30.099019
139.5589392,-29.94121383
139.4578101,-30.13298985
139.3135195,-30.19479078
139.3990176,-30.18102578
139.3407267,-30.19715752
139.5108411,-30.10026088
139.6889817,-29.8945535
139.6502494,-29.88985612
139.3985215,-30.19726497
139.5944711,-29.89752991
139.4957448,-30.04454992
139.4712689,-30.14462816
139.5857937,-29.86028074
139.320773,-30.14986781
139.5494474,-29.9230632
139.4945807,-30.04615821
139.7136316,-29.97517925
139.6620086,-29.87611194
139.3566976,-30.19506723
139.6249564,-29.94882415
139.6544951,-29.99112996
139.5780026,-30.03299941
139.5808044,-29.87274018
139.4752029,-30.14174083
139.6759425,-29.88400227
139.5818205,-30.01780072
139.6843405,-29.99312528
139.3342231,-30.21358852
139.6638876,-29.85507844
139.4088095,-30.22156913
139.2939002,-30.16321774
139.4567565,-30.09766382
139.5758491,-29.89524649
139.5746735,-29.84441111
139.5895869,-29.83254073
139.4934488,-30.04513204
139.4666776,-30.12560872
139.5986843,-29.87334723
139.6766209,-30.00404603
139.2948537,-30.19154626
139.6334133,-30.02542609
139.3727421,-30.23093106
139.4724224,-30.09691686
139.6044029,-29.86795062
139.702823,-29.93364941
139.6485519,-30.00977676
139.4792769,-30.16016591
139.3478703,-30.2593502
139.3680699,-30.16960995
139.6447061,-29.87158227
139.5306932,-29.8926928
139.3046928,-30.19770334
139.4291066,-30.17738385
139.5320433,-30.046469
139.5525212,-29.90849935
139.7024906,-29.95540808
139.6785735,-29.97977992
139.699373,-29.99726556
139.3267702,-30.22886358
139.5265758,-30.09909382
139.4308791,-30.17366971
139.3201347,-30.18442209
139.4992497,-30.08038624
139.34928,-30.20234556
139.3182734,-30.1658713
139.580993,-30.07227085
139.6477864,-29.95692209
139.6259993,-29.88046768
139.5490689,-29.87879104
139.574417,-29.87915878
139.5931536,-29.94005191
139.3855074,-30.22964985
139.3193309,-30.14319604
139.5105916,-30.10129993
139.4396962,-30.14845762
139.6437531,-30.00660049
139.4535026,-30.09439332
139.520086,-30.0822933
139.6872054,-29.89415864
139.4187873,-30.16205484
139.457315,-30.11998379
139.6768196,-29.99909854
139.6320801,-29.90842857
139.5007515,-30.11112592
139.5967093,-30.01991338
139.6064868,-29.9303415
139.547736,-30.11180127
139.7090414,-29.97403228
139.6223789,-30.04591504
139.4807765,-30.08711936
139.5734291,-29.88716125
139.6766529,-29.99721095
139.5842696,-29.9633729
139.3804451,-30.20942581
139.6638976,-29.91823454
139.4927231,-30.13847418
139.4274024,-30.14295189
139.5718931,-29.90008375
139.6709542,-29.97364406
139.3548844,-30.17639541
139.4771262,-30.12973948
139.2881836,-30.17783494
139.6196844,-30.01792632
139.3949868,-30.21587065
139.5958591,-30.06233139
139.3741404,-30.17766203
139.6370457,-29.88070692
139.5448577,-29.88880055
139.3320595,-30.18121737
139.5997383,-29.83577104
139.6803205,-29.95405321
139.3832278,-30.22195348
139.6786525,-29.96228251
139.6046085,-30.00516357
139.6736401,-30.0076675
139.6920239,-29.95140525
139.7217035,-29.97111583
139.5693499,-29.85441606
139.6163909,-29.98361799
139.5389486,-29.94228821
139.3774785,-30.17042403
139.623139,-29.96195943
139.4315973,-30.1352899
139.6573226,-29.93525677
139.6274688,-29.81787601
139.3265987,-30.18127058
139.6115004,-29.96180868
139.3731795,-30.18197208
139.5034201,-30.06158313
139.485452,-30.16367158
139.7257406,-29.94193919
139.4739459,-30.09498164
139.6148334,-29.89873367
139.3979662,-30.15632055
139.3627624,-30.20412192
139.5124399,-30.12836777
139.3761415,-30.23844876
139.7016152,-29.95942076
139.2823973,-30.16593819
139.4439925,-30.19045958
139.5664825,-29.8722504
139.4918734,-30.07833504
139.2893382,-30.1539271
139.4379689,-30.14975162
139.6028262,-29.92059745
139.5972283,-30.07297563
139.5789792,-30.02420177
139.5833129,-30.08522056
139.4937641,-30.05916674
139.283814,-30.13000402
139.6312002,-29.96830248
139.5547608,-29.95072892
139.7072438,-29.93621051
139.5401485,-30.09322951
139.6820235,-29.90570201
139.6631764,-30.01189475
139.5758501,-29.89392581
139.3522908,-30.17220663
139.7289305,-29.95154867
139.6341314,-29.84083214
139.5119342,-29.91258281
139.3717653,-30.22679669
139.6692515,-29.87232039
139.5965188,-29.91132854
139.6290997,-29.92778245
139.5140955,-29.91373979
139.3799536,-30.24064545
139.5811277,-29.95677297
139.6196991,-30.01615963
139.5123157,-30.12456136
139.5157086,-29.90655462
139.6003301,-30.00175018
139.7230126,-29.96255311
139.6348596,-29.87013921
139.5624619,-30.03343169
139.3225866,-30.20486541
139.5178411,-30.11750883
139.565373,-30.06540655
139.459237,-30.1110335
139.4819054,-30.11410117
139.6248107,-29.82801775
139.6234957,-30.03297549
139.3960119,-30.16650511
139.6428301,-29.83280459
139.3722148,-30.16438019
139.4588397,-30.11359731
139.6426093,-29.91087386
139.6051555,-30.01062579
139.6477835,-29.96788517
139.5717044,-29.94899418
139.548744,-29.94748419
139.6554304,-29.90302722
139.6439193,-29.9662313
139.6038002,-29.9946746
139.6122871,-29.8821522
139.4071008,-30.18088812
139.6791133,-29.9850952
139.5683217,-29.93566822
139.607862,-29.95571553
139.3473841,-30.24417987
139.2806069,-30.12826335
139.5000078,-30.14981691
139.725029,-29.96613373
139.5773557,-29.98948455
139.6472551,-30.04013772
139.509325,-30.08421989
139.6512549,-29.88831706
139.4957953,-30.07564306
139.6927556,-29.89651684
139.620214,-29.92796033
139.5453978,-30.05046156
139.5887982,-29.94416335
139.5746322,-29.92631269
139.7172242,-29.97842189
139.3634417,-30.21221679
139.3548248,-30.24829332
139.4492893,-30.17788588
139.5948425,-29.98597245
139.5667923,-29.94626742
139.5323764,-29.89529865
139.5753885,-29.9328137
139.5670345,-29.97786695
139.5820935,-29.85928539
139.3338393,-30.16405782
139.6340484,-30.00356527
139.4118782,-30.17036142
139.5649277,-29.95260223
139.5972991,-30.04652038
139.2905579,-30.13562177
139.3543573,-30.17022444
139.6556965,-29.9924759
139.4163382,-30.16170357
139.6874199,-29.93917248
139.6427208,-29.97171525
139.641143,-29.93251734
139.646001,-29.8480633
139.3329781,-30.21268168
139.6216589,-29.99764126
139.5095767,-30.08787065
139.5641462,-30.00366171
139.7086235,-29.93397805
139.5268298,-30.07324867
139.6212324,-29.85439373
139.4550746,-30.08607592
139.6146105,-29.935127
139.3592412,-30.20168824
139.4424458,-30.07457544
139.6114673,-29.82515054
139.4884806,-30.05976264
139.5368385,-30.05846829
139.5971995,-30.07444845
139.4822332,-30.0595691
139.3636277,-30.23918012
139.543595,-30.09008489
139.5226474,-29.88812334
139.6158367,-29.91762894
139.542696,-29.96054579
139.6362275,-29.92082063
139.720371,-29.94349281
139.5860959,-29.89922525
139.6608515,-30.00068752
139.4976209,-30.15276906
139.4214142,-30.18741261
139.6400337,-29.99972257
139.6631074,-29.93867278
139.5734736,-29.92551816
139.4899127,-30.13936083
139.4572438,-30.08185853
139.6990624,-29.9005151
139.657897,-29.85366259
139.3202056,-30.20508456
139.5440708,-29.93320129
139.6262629,-29.95962573
139.6416511,-29.91328241
